issue,title,primary finding,validator comment,status,root cause (URL),size
findings-24,"fee_protocol cannot be set, protocol is not able to earn fees.",findings-8,Protocol fee lacks a setter,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L31,71
findings-8,No related function to set fee_protocol,findings-8,Protocol fee lacks a setter,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L31,90
validation-103,fee_protocol is not set anywhere in pool.rs,findings-8,Protocol fee lacks a setter,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L31,107
validation-28,Non-functional protocol fee,findings-8,Protocol fee lacks a setter,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L31,35
validation-52,"It is not possible to set protocol fees, which results in the protocol losing funds",findings-8,Protocol fee lacks a setter,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L31,48
validation-246,Permit2 doesn't allow passing from != msg.sender,validation-246,Permit can only be used by signer ,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/wasm_erc20.rs#L188-L245,72
findings-21,"set_sqrt_price() causing price and tick out of sync, resulting in incorrect liquidity and swap calculation",validation-161,Owner changing the price is front-runneable,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L1089,118
findings-22,"Artificially reset pool price will cause invalid swap steps, all subsequent swap to use wrong pool liquidity",validation-161,Owner changing the price is front-runneable,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L1089,99
validation-161,Front-running vulnerability in pool price setting function,validation-161,Owner changing the price is front-runneable,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L1089,37
validation-185,Unintended under/overflow of the amount already swapped in/out due to unmatching logic,validation-185,Operatation should have overflow protection. ,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L439,79
validation-60,A pool with high liquidity and low price may have a price overflow after swapping,validation-185,Operatation should have overflow protection. ,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L439,97
findings-31,Users can't remove liquidity while a pool is disabled,findings-31,Not possible to remove liquidity if pool is disabled,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L92,36
validation-159,Users unable to remove liquidity from disabled pools,findings-31,Not possible to remove liquidity if pool is disabled,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L92,28
validation-32,Users cannot remove liquidity when the pool is disabled.,findings-31,Not possible to remove liquidity if pool is disabled,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L92,41
validation-86,update_position in pools.rs always checks if pool is enabled,findings-31,Not possible to remove liquidity if pool is disabled,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L92,23
validation-214,Liquidity cannot be removed if the pool is disabled,findings-31,Not possible to remove liquidity if pool is disabled,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L92,61
validation-230,Wrong liquidity formula used,validation-259,Not following uniswap v3 implementation faithfully. Reports fail to provide proof of impact only show the inconsistency,Satisfactory,"https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L265,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/maths/tick_math.rs#L20-L59,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/README.md#L141-L148",366
validation-242,Missing check if liquidity is not increasing when updating positions,validation-259,Not following uniswap v3 implementation faithfully. Reports fail to provide proof of impact only show the inconsistency,Satisfactory,"https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L265,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/maths/tick_math.rs#L20-L59,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/README.md#L141-L148",304
validation-259,X96 sqrt ratio calculated is wrong whenever `(abs_tick & 1) != 0` & `(abs_tick & 0x2) != 0`,validation-259,Not following uniswap v3 implementation faithfully. Reports fail to provide proof of impact only show the inconsistency,Satisfactory,"https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L265,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/maths/tick_math.rs#L20-L59,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/README.md#L141-L148",94
validation-252,Ticks are allowed to be over `int24` deviating form intended uniswap standard,validation-259,Not following uniswap v3 implementation faithfully. Reports fail to provide proof of impact only show the inconsistency,Satisfactory,"https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L265,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/maths/tick_math.rs#L20-L59,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/README.md#L141-L148",105
validation-197,One of the Main Invraiant is broken,validation-259,Not following uniswap v3 implementation faithfully. Reports fail to provide proof of impact only show the inconsistency,Satisfactory,"https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L265,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/maths/tick_math.rs#L20-L59,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/README.md#L141-L148",40
findings-33,Decrease position will always revert due to incorrect function wrapper,validation-63,Missing argument in function declaration,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/SeawaterAMM.sol#L476-L485,111
findings-6,The `incrPositionPermit25468326E` function cannot be used.,validation-63,Missing argument in function declaration,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/SeawaterAMM.sol#L476-L485,102
validation-63,`decrPosition09293696` will not work due to incorrect function signature,validation-63,Missing argument in function declaration,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/SeawaterAMM.sol#L476-L485,78
findings-3,The protocol fee will be permanently stuck in the contract.,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,67
findings-32,Protocol fees will be forever stuck in the AMM contract.,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,91
validation-167,Incorrect Parameter in `collect_protocol_7540_F_A_9_F` Method of `lib.rs` Causes Token Transfer Failure when Collecting Protocol Fees,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,84
validation-210,Parameter Misordering in Fee Collection Function Causes Denial of Service and Fee Loss,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,143
validation-240,Admin cannot collect protocol fee due to Incorrect Parameter Order in ERC20 Transfer Function Call ,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,39
validation-37,Protocol fees can't be collected due to implementation error,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,54
validation-54,Protocol earnings are permanently lost/locked,validation-54,Inverted function arguments when transferring protocol fees,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L1149-L1150,110
validation-61,"When performing 'swap' and the swap position does not cover 'swap amount', the base price of 'sqrt_price' is set incorrectly.",validation-61,Incorrect update of sqrt price,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L303,278
validation-129,Incorrect `require` statement will reject valid transfers and allow invalid ones,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,70
validation-162,Incorrect ERC721 Token Receiver Validation,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,45
validation-177,Incorrect Validation in OwnershipNFTs.sol Prevents Valid NFT Transfers and Allows Invalid Ones,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,204
validation-180,Inverted Logic in ERC721 Receiver Check,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,67
validation-193,Incorrect Implementation of ERC721 Safe Transfer Check,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,39
validation-22,Incorrect Logic in _onTransferReceived Function Causes Valid ERC721 Safe Transfers to Fail,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,110
validation-220,Inverted Selector Check Causes All ERC721 Safe Transfers to Contract Addresses to Fail,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,66
validation-238,callback of OwnershipNFT's safe operation has wrong require check,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,82
validation-251,Superposition's implementation of `SafeTransferFrom()` is broken,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,103
validation-26,Incorrect require statement in _onTransferReceived(),validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,52
validation-40,_onTransferReceived will revert on correct data result,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,28
validation-44,_onTransferReceived() does not work as intended,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,178
validation-58,Improper implementation of `_onTransferReceived` hook,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,84
validation-69,Incorrect Validation in `_onTransferReceived` Function Leads to Stuck Tokens and Failed Transfers,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,78
validation-93,Wrong require statement in OwnershipNFT::_onTransferReceived,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,65
findings-26,Incorrect verification of onERC721Received callback success,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,55
findings-28,NFT safe transfer will likely always revert,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,54
findings-42,`_onTransferReceived` for position NFTs is implemented incorrectly,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,92
validation-141,Wrong operation,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,29
validation-20,OwnershipNFT transfer via `safeTransferFrom` to non-EOA will be reverted.,validation-93,Incorrect require statement onERC721Received,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L93,69
validation-53,Min tick has wrong rounding making part of the liquidity range unaccessible,validation-53,Incorrect min tick computation. Seems QA as this do not poses any security concern,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/maths/tick_math.rs#L94,50
validation-191,The `get_amounts_for_delta()` function at `sqrt_price_math.rs` is implemented incorrectly.,validation-191,Incorrect handling of tick range,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/maths/sqrt_price_math.rs#L252,101
validation-203,`authorised_enablers` role Inconsistencies in Pool Management.,validation-203,Inconsistency with expected actions by authorized enablers,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L120,80
validation-219,The `authorised_enablers` can disable pools,validation-203,Inconsistency with expected actions by authorized enablers,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L120,76
validation-221,The `authorised_enablers` are not allowed to create new pools,validation-203,Inconsistency with expected actions by authorized enablers,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/lib.rs#L120,46
findings-37,Users are not paying the swap fees when they swap with `swap_internal`,findings-37,Function is not taking the fee from the user,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L167,50
findings-40,Incorrect underflow handling in `tick::get_fee_growth_inside()` may prevent position modifications,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,144
validation-107,"tick.rs does not allow for fees to under/overflow, as it is supposed to be",validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,66
validation-208,Fix for fees calculations,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,223
validation-236,`get_fee_growth_inside` in `tick.rs` should allow for `underflow`/`overflow` but doesn't,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,171
validation-243,position.update fees operations must be in unchecked,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,129
validation-38,Fees calculations don’t allow overflowing/underflowing,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,29
validation-55,"Position's owed fees should allow underflow but it reverts instead, resulting in locked funds",validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,132
validation-56,Position's fee growth can revert resulting in funds permanently locked,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,164
validation-65,Use of checked arithmetic when handling fee growth,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,146
validation-92,fee_growth_inside calculations doesnt allow oveflow/underflow,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,62
validation-244,operations in _mul_div should allow overflow/underflow,validation-236,Fees computation should be allowed to underflow/overflow,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/tick.rs#L125-L246,83
validation-176, Incorrect Implementation of ERC721 Standard,validation-188,Failure to comply with ERC721 standard,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L13,31
validation-178,Missing Required ERC721 Events,validation-188,Failure to comply with ERC721 standard,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L13,47
validation-18,"OwnershipNFTs.sol is not ERC721 compliant, doesnt implement the ERC165 interface. ",validation-188,Failure to comply with ERC721 standard,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L13,35
validation-188,"OwnershipNFTs do not comply with ERC721, breaking composability",validation-188,Failure to comply with ERC721 standard,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L13,38
validation-62,OwnershipNFTs.sol does not declare `supportsInterface` ,validation-188,Failure to comply with ERC721 standard,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L13,69
validation-49,`bytes data` param is not passed to ERC721 recipient as expected by EIP-721,validation-188,Failure to comply with ERC721 standard,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/OwnershipNFTs.sol#L13,219
findings-11,Emergency council cannot be updated and will force a temporal DoS everytime update is attempted,validation-29,Emergency council setter is incorrect,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L1121,92
